,Unnamed: 0,stn,year,mo,da,temp,max,min
305,305,702190,1945,1,7,8.1,12.4,6.4
306,306,702190,1945,1,24,26.2,29.3,19.4
307,307,702190,1945,1,25,19.7,29.3,7.3
308,308,702190,1945,1,30,37.8,40.3,32.4
309,309,702190,1945,2,15,32.9,36.3,19.4
310,310,702190,1945,2,25,30.4,33.4,27.3
311,311,702190,1945,2,27,37.6,42.4,35.4
312,312,702190,1945,4,8,23.6,34.3,13.5
313,313,702190,1945,4,23,35.2,42.4,33.4
314,314,702190,1945,4,24,33.3,35.4,30.4
315,315,702190,1945,5,21,44.6,48.4,41.4
316,316,702190,1945,5,22,40.0,47.3,34.3
317,317,702190,1945,5,29,43.2,54.3,34.3
318,318,702190,1945,5,30,39.1,44.4,36.3
319,319,702190,1945,6,7,53.8,64.4,44.4
320,320,702190,1945,6,20,48.6,57.4,42.4
321,321,702190,1945,6,27,54.0,64.4,48.4
322,322,702190,1945,6,28,52.1,58.3,44.4
323,323,702190,1945,6,30,51.1,60.3,43.3
324,324,702190,1945,7,1,49.2,57.4,37.4
325,325,702190,1945,7,2,50.2,54.3,47.3
326,326,702190,1945,7,3,51.7,61.3,45.3
327,327,702190,1945,7,13,55.7,63.3,50.4
328,328,702190,1945,7,14,57.1,74.3,47.3
329,329,702190,1945,7,17,53.5,63.3,50.4
330,330,702190,1945,7,18,56.1,65.3,50.4
331,331,702190,1945,7,19,52.0,61.3,48.4
332,332,702190,1945,7,20,55.8,63.3,51.3
333,333,702190,1945,7,21,51.5,53.4,50.4
334,334,702190,1945,7,23,50.9,54.3,48.4
335,335,702190,1945,7,28,57.5,70.3,53.4
336,336,702190,1945,7,29,53.5,56.3,52.3
337,337,702190,1945,7,30,52.8,55.4,50.4
338,338,702190,1945,8,1,59.1,64.4,55.4
339,339,702190,1945,8,22,54.5,59.4,51.3
340,340,702190,1945,8,23,52.6,57.4,49.3
341,341,702190,1945,8,25,51.2,54.3,49.3
342,342,702190,1945,8,28,50.2,54.3,48.4
343,343,702190,1945,8,31,47.1,54.3,45.3
344,344,702190,1945,9,3,50.8,55.4,47.3
345,345,702190,1945,9,4,49.4,55.4,47.3
